"","County","State","Age.AdjustedCANCERcases_per100000","Recent.Trend","Average.Annual.Count"
"686","Dawes"," Nebraska",408.8,"stable",44
"687","Dawson"," Georgia",434.4,"stable",131
"688","Dawson"," Montana",432.6,"stable",54
"689","Dawson"," Nebraska",403.4,"stable",112
"690","Dawson"," Texas",459.3,"stable",65
"691","Day"," South Dakota",422,"stable",39
"692","De Soto Parish"," Louisiana",528.3,"stable",179
"693","De Witt"," Illinois",554.2,"stable",121
"694","Deaf Smith"," Texas",413.6,"stable",75
"695","Dearborn"," Indiana",476.5,"stable",295
"696","DeBaca"," New Mexico",419.3,"stable",12
"697","Decatur"," Georgia",436.1,"stable",144
"698","Decatur"," Indiana",478.8,"stable",152
"699","Decatur"," Iowa",560.6,"stable",57
"700","Decatur"," Tennessee",463,"stable",84
"701","Deer Lodge"," Montana",447.8,"stable",64
"702","Defiance"," Ohio",436.3,"stable",212
"703","DeKalb"," Alabama",395.5,"stable",340
"704","DeKalb"," Georgia",451.1,"stable",3154
"705","DeKalb"," Illinois",496.1,"stable",483
"706","DeKalb"," Indiana",414.6,"stable",209
"707","DeKalb"," Missouri",377.7,"stable",57
"708","DeKalb"," Tennessee",415.4,"stable",105
"709","Del Norte"," California",411.8,"stable",140
"710","Delaware"," Indiana",468.9,"stable",638
"711","Delaware"," Iowa",475.6,"stable",109
"712","Delaware"," New York",477.1,"stable",338
"713","Delaware"," Ohio",447.8,"stable",865
"714","Delaware"," Oklahoma",404.2,"stable",262
"715","Delaware"," Pennsylvania",507.1,"stable",3422
"716","Delta"," Colorado",382.3,"stable",178
"717","Delta"," Michigan",423.8,"stable",238
"718","Delta"," Texas",475.4,"stable",36
"719","Denali"," Alaska",293.5,"stable",6
"720","Dent"," Missouri",432.9,"stable",94
"721","Denton"," Texas",405.5,"falling",2577
"722","Denver"," Colorado",418.6,"falling",2626
"723","Des Moines"," Iowa",506.6,"stable",280
"724","Deschutes"," Oregon",420.3,"stable",947
"725","Desha"," Arkansas",425.1,"stable",69
"726","DeSoto"," Florida",388.8,"stable",189
"727","DeSoto"," Mississippi",447.4,"stable",766
"728","Deuel"," Nebraska",391.9,"stable",13
"729","Deuel"," South Dakota",457.9,"stable",29
"730","Dewey"," Oklahoma",420.1,"stable",29
"731","Dewey"," South Dakota",514.1,"stable",25
"732","DeWitt"," Texas",448.1,"stable",125
"733","Dickens"," Texas",292.1,"stable",10
"734","Dickenson"," Virginia",391.8,"stable",83
"735","Dickey"," North Dakota",474.6,"stable",35
"736","Dickinson"," Iowa",555.9,"stable",153
"737","Dickinson"," Michigan",412.2,"stable",156
"738","Dickson"," Tennessee",511,"stable",310
"739","Dillingham Census Area"," Alaska",404.1,"stable",16
"740","Dillon"," South Carolina",440.6,"stable",165
"741","Dimmit"," Texas",373.2,"stable",43
"742","Dinwiddie"," Virginia",462.4,"stable",162
"743","District of Columbia","District of Columbia",432.6,"falling",2818
"744","Divide"," North Dakota",263.3,"stable",10
"745","Dixie"," Florida",491.9,"stable",123
"746","Dixon"," Nebraska",449.9,"stable",36
"747","Doddridge"," West Virginia",325,"rising",40
"748","Dodge"," Georgia",391.6,"stable",104
"749","Dodge"," Nebraska",502.2,"stable",241
"750","Dodge"," Wisconsin",431.2,"falling",479
"751","Dolores"," Colorado",270.3,"stable",8
"752","Dona Ana"," New Mexico",390.7,"stable",883
"753","Donley"," Texas",432.7,"stable",21
"754","Dooly"," Georgia",363.7,"stable",67
"755","Door"," Wisconsin",474.3,"stable",228
