,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,County,State
11029,WED Stilson Solar,2,41.5188,-71.6865,Solar,2018,WED Stilson Solar  LLC,NA,NA,NA,NA,0,Washington,Rhode Island
11030,WFEC GenCo LLC,90,35.0833,-98.2264,Gas,2001,Western Farmers Elec Coop  Inc,1.383,31.692,90.617,185.352,146.078,Caddo,Oklahoma
11031,WPPI Hartford DG,1.1,43.3358,-88.4097,Oil,2005,WPPI Energy,0.011,0.011,0.01,0.008,0.009,Washington,Wisconsin
11032,WSMR I,4.6,32.3958,-106.4772,Solar,2013,Siemens Government Technologies Inc,8.588,0.009,8.03,8.775,6.484,Dona Ana,New Mexico
11033,WWRF Solar Plant,1.5,39.5229,-107.8134,Solar,2009,SunE U6 Holdings LLC,2.922,2.973,NA,2.981,2.809,Garfield,Colorado
11034,WWTP Power Generation Station,6.6,37.8258,-122.2961,Biomass,1985,East Bay Municipal Util Dist,26.471,24.261,24.631,20.637,27.953,Alameda,California
11035,WYM 1250 Palmer LLC,1,42.1511,-72.2697,Solar,2013,Soltage LLC,NA,NA,NA,1.613,1.489,Hampden,Massachusetts
11036,Wabash Valley Power IGCC,192,39.53,-87.4247,Gas,1995,Wabash Valley Power Assn  Inc,1577.281967,1285.479,1223.856005,540.994004,48.88,Vigo,Indiana
11037,Wabasha Holdco Solar CSG,3,44.3671,-92.0193,Solar,2017,Wabasha Holdco LLC,NA,NA,NA,NA,4.622,Wabasha,Minnesota
11038,Wabuska,5.4,39.1641,-119.1801,Geothermal,2003.259259,Homestretch Geothermal LLC,10.589,10.614,9.655,9.125,9.303,Lyon,Nevada
11039,Waco Farm,5,35.3522,-81.4261,Solar,2013,Waco Farm LLC,NA,9.67,8.982,9.73,9.133,Gaston,North Carolina
11040,Waddell,40,33.8447,-112.2714,Hydro,1993,Central Arizona Water Conservation Dist,38.503,31.047,43.432,42.832,-40.193,Maricopa,Arizona
11041,Wadesboro Farm 1,5,34.9911,-80.0973,Solar,2015,Wadesboro Farm 1  LLC,NA,NA,NA,9.843,9.734,Anson,North Carolina
11042,Wadesboro Farm 2,5,35.0234,-80.0932,Solar,2016,Wadesboro Farm 2  LLC,NA,NA,NA,4.7,10.005,Anson,North Carolina
